t,a0,a1,a2,a3,a4,a5,a6,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9
0.0,-62.21277618408203,-24.22516441345215,-150.8363800048828,-11.298879623413086,80.67133331298828,5.284759521484375,-4.185790061950684,0.010947774164378643,-0.049354150891304016,1.5613946914672852,-0.04626673087477684,1.536529541015625,-0.002388201653957367,0.021000195294618607,-0.0005730189150199294,3.08080760902385e-09,-3.642190051778016e-07,-0.02860359661281109,-0.02971087209880352,0.06300655007362366,-0.02041798084974289,-0.010197331197559834,-0.051511552184820175,0.6587356328964233,0.35466259717941284,0.6692477464675903,0.35466277599334717,-1.1876561641693115,-22.230369567871094,-21.881948471069336,2.891674518585205,-0.016673952341079712,-0.0018994215643033385,0.0,0.0,0.0,0.0
0.16666666666666666,-11.168060302734375,4.9090728759765625,-128.40402221679688,5.315584659576416,34.319190979003906,-0.47684192657470703,-9.967570304870605,0.004160008858889341,-0.07835213094949722,1.635164737701416,-0.07666441798210144,1.5350950956344604,-0.05846376717090607,0.07155174016952515,0.0001421420311089605,-3.68458430433094e-10,-3.219156781142374e-07,0.18391574919223785,-0.227535218000412,0.6420646905899048,-0.14496132731437683,0.06412091106176376,-0.33702000975608826,-0.5075017213821411,-0.31085482239723206,-1.7196367707583704e-06,-0.3128780722618103,3.2295894622802734,-21.13736343383789,-23.278289794921875,3.9176015853881836,-0.033037424087524414,-0.0011765225790441036,0.0,0.0,0.0,0.0
0.3333333333333333,2.070815086364746,0.7042808532714844,-129.6920166015625,-2.847910165786743,13.737921714782715,-8.474977493286133,-7.353997230529785,0.013473708182573318,-0.04304088279604912,1.6836230754852295,-0.05715785548090935,1.5610504150390625,-0.08160854876041412,0.0718977078795433,0.0003925123601220548,7.136775979216248e-12,-3.135632482553774e-07,-0.11659486591815948,0.6290752291679382,-0.06122739985585213,0.08227548003196716,0.22428938746452332,0.07956177741289139,-0.5452592372894287,-0.3050631284713745,-0.5525602102279663,-0.30506306886672974,0.8531710505485535,-15.17645263671875,-23.359830856323242,3.4125475883483887,-0.2145715057849884,0.0058956025168299675,0.0,0.0,0.0,0.0
0.5,-1.0829864740371704,-0.5423579216003418,-110.34341430664062,5.428291320800781,-20.774372100830078,4.744369983673096,-8.180983543395996,-0.0032994276843965054,0.07735169678926468,1.655844807624817,-0.02773766778409481,1.5920220613479614,-0.02491188421845436,0.07458118349313736,-2.632941323099658e-05,-2.5751154542064114e-09,-3.1656202281737933e-07,-0.31044477224349976,0.5334991812705994,-0.003651345381513238,0.38993242383003235,-0.12807205319404602,0.10648798197507858,-0.5876609086990356,-0.3239205479621887,-0.5957488417625427,-0.32392048835754395,-0.996884822845459,-34.34490966796875,-22.135778427124023,3.192913770675659,0.99079829454422,-0.00499343778938055,0.0,0.0,0.0,0.0
0.6666666666666666,3.284580707550049,0.3812689483165741,-99.06844329833984,-8.496578216552734,-28.870399475097656,11.498719215393066,-10.486824989318848,-0.05142407491803169,0.12165343761444092,1.69795560836792,0.04034634307026863,1.4966719150543213,-0.08754527568817139,0.07559603452682495,-7.662316784262657e-05,8.821225694344292e-11,-3.0451275279119727e-07,-0.0898725613951683,0.06476295739412308,0.4560723900794983,0.19649437069892883,-0.9103159308433533,-0.5619262456893921,-0.6172994375228882,-0.3390733301639557,-0.6257658004760742,-0.3390730619430542,4.416907787322998,-30.013051986694336,-21.99933433532715,3.645744800567627,0.5217419862747192,-0.004084642045199871,0.0,0.0,0.0,0.0
0.8333333333333334,2.8224782943725586,0.8006396293640137,-98.73384094238281,-6.014992713928223,-9.692207336425781,-3.648691415786743,-5.5343828201293945,-0.010034894570708275,0.10813003033399582,1.7999242544174194,0.008148429915308952,1.3053793907165527,-0.14557905495166779,0.07573171705007553,5.804124884889461e-05,-5.807360814458207e-09,-3.1455445537176274e-07,0.4835112988948822,-0.139517679810524,0.6902943849563599,-0.5021078586578369,-1.3176589012145996,-0.010454605333507061,-0.6268246173858643,-0.34507492184638977,-0.6353774666786194,-0.34507501125335693,1.821722149848938,-26.588817596435547,-21.93436050415039,3.404331684112549,0.13676704466342926,0.004297962877899408,0.0,0.0,0.0,0.0
1.0,-2.6909217834472656,-0.1484833061695099,-89.40901947021484,5.683016777038574,10.007566452026367,-7.207221508026123,-3.4363861083984375,0.06529822200536728,0.1018688976764679,1.9029827117919922,-0.07237734645605087,1.1192771196365356,-0.06303093582391739,0.07710982859134674,3.8528192817466334e-05,3.029165585033411e-09,-3.953595637540275e-07,0.2030165046453476,0.14900675415992737,0.43715596199035645,-0.15321262180805206,-0.705285906791687,0.5575671195983887,-0.603272557258606,-0.33211320638656616,-0.6117594838142395,-0.3321131765842438,-4.6093573570251465,-24.239044189453125,-22.47199821472168,3.1494503021240234,0.10618112236261368,0.005233295727521181,0.0,0.0,0.0,0.0
1.1666666666666667,2.459707260131836,-0.1739964783191681,-81.56182098388672,-2.750061273574829,-4.311307907104492,9.181571960449219,-6.347644805908203,0.053494296967983246,0.17446103692054749,1.9196008443832397,-0.04043656215071678,1.0756359100341797,-0.026220889762043953,0.07382664829492569,0.00024727039271965623,8.664012562942247e-11,-3.843159390726214e-07,-0.11699027568101883,0.623979389667511,-0.12328323721885681,0.1471012383699417,-0.039468396455049515,-0.02318541705608368,-0.6393138766288757,-0.35409343242645264,-0.6483006477355957,-0.3540934920310974,0.7945842146873474,-26.44483184814453,-20.785022735595703,2.878911018371582,-0.18468859791755676,-0.0057047405280172825,0.0,0.0,0.0,0.0
1.3333333333333333,1.3550585508346558,0.0764140784740448,-66.36465454101562,7.130143642425537,-16.32377052307129,4.138139724731445,-4.294801712036133,0.05750802531838417,0.25362497568130493,1.9268747568130493,-0.04804373160004616,1.0011026859283447,-0.05255230516195297,0.07214776426553726,0.000295801495667547,-1.2169546481644034e-09,-4.100387798189331e-07,0.015526754781603813,0.33773958683013916,0.20467343926429749,0.09562069922685623,-0.8833571076393127,-0.5204163789749146,-0.5937176942825317,-0.3299260139465332,-0.6021332144737244,-0.3299262523651123,-1.4371898174285889,-31.906017303466797,-19.940921783447266,2.935115098953247,0.00933171808719635,-0.0035796151496469975,0.0,0.0,0.0,0.0
1.5,59.97601318359375,24.968385696411133,49.23112106323242,58.036895751953125,-72.42855834960938,-47.345359802246094,-3.2217297554016113,0.07060892879962921,0.2791336476802826,1.9240751266479492,-0.029058627784252167,0.9144778251647949,-0.07619617134332657,-0.007466927636414766,0.2920971214771271,1.3241402996300167e-07,0.00019834807608276606,0.20169155299663544,0.06975846737623215,-0.26497259736061096,0.4481826424598694,-0.33690130710601807,-0.7736746072769165,1.6989009380340576,0.6761316657066345,1.8652373552322388,0.676133394241333,1.1168519258499146,-38.09938430786133,-22.425582885742188,3.7969329357147217,-0.5124479532241821,0.015506211668252945,0.0,0.0,0.0,0.0
